generation,kcat_index,mu_log10_kcat
7,kcat_9,3.8772714651625293
8,kcat_9,3.874817344866473
9,kcat_9,3.86273003788174
10,kcat_9,3.866446261660794
11,kcat_9,3.857184924682726
12,kcat_9,3.856915171902605
13,kcat_9,3.8624007641031572
14,kcat_9,3.8765595976174927
15,kcat_9,3.8597995970577825
16,kcat_9,3.859256084675274
17,kcat_9,3.857999299906242
18,kcat_9,3.86086052589131
19,kcat_9,3.8629898653807673
20,kcat_9,3.8599022170583615
21,kcat_9,3.8510458724034895
22,kcat_9,3.862081971506988
23,kcat_9,3.863361595468766
24,kcat_9,3.864066078151419
25,kcat_9,3.862889876360248
26,kcat_9,3.85722524136065
27,kcat_9,3.857086847326336
28,kcat_9,3.8650258722021347
29,kcat_9,3.8576903443260506
30,kcat_9,3.8517146398906443
31,kcat_9,3.853138688720442
32,kcat_9,3.8472749688526418
33,kcat_9,3.8478168199124982
34,kcat_9,3.8461880223638523
35,kcat_9,3.8432462570112436
36,kcat_9,3.8433583231562816
37,kcat_9,3.846280287983228
38,kcat_9,3.8490706681776277
39,kcat_9,3.8570500222403252
40,kcat_9,3.8662744107393445
41,kcat_9,3.8706192852405104
42,kcat_9,3.875455057784138
43,kcat_9,3.8786075809560856
44,kcat_9,3.8892415278905283
45,kcat_9,3.888600653054763
46,kcat_9,3.904887889777208
47,kcat_9,3.9032067628948455
48,kcat_9,3.8947162163672275
49,kcat_9,3.8937404406532314
0,kcat_10,5.418813987313741
1,kcat_10,5.427843901599157
2,kcat_10,5.445510046825901
3,kcat_10,5.4037317422418525
4,kcat_10,5.403617363958654
5,kcat_10,5.367322432248959
6,kcat_10,5.354994484134166
7,kcat_10,5.325789030162815
8,kcat_10,5.313488282336829
9,kcat_10,5.298029379690667
10,kcat_10,5.2899081067559965
11,kcat_10,5.285221727552951
12,kcat_10,5.27869835960362
13,kcat_10,5.270491169469741
14,kcat_10,5.271285026559879
15,kcat_10,5.266364202449919
16,kcat_10,5.2691864616137245
17,kcat_10,5.271516357160302
18,kcat_10,5.266918214253728
19,kcat_10,5.26874437508705
20,kcat_10,5.245427263977526
21,kcat_10,5.237662395457296
22,kcat_10,5.235983031462149
23,kcat_10,5.235423842615502
24,kcat_10,5.237847365930295
25,kcat_10,5.2360505577878875
26,kcat_10,5.219870025681198
27,kcat_10,5.21774465990625
28,kcat_10,5.216107373603008
29,kcat_10,5.218072185296871
30,kcat_10,5.212474550800446
31,kcat_10,5.2106901971282715
32,kcat_10,5.209592375825815
33,kcat_10,5.208302110766861
34,kcat_10,5.188508460398642
35,kcat_10,5.177662171591247
36,kcat_10,5.1690792338491995
37,kcat_10,5.168796148334827
38,kcat_10,5.168750127503781
39,kcat_10,5.172894662576172
40,kcat_10,5.173579730655724
41,kcat_10,5.168287980600657
42,kcat_10,5.168759585029381
43,kcat_10,5.169145879549236
44,kcat_10,5.16918599893886
45,kcat_10,5.172754757960463
46,kcat_10,5.167965567929568
47,kcat_10,5.1788740365113615
