Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b0121,1.73E-05,1.88E-05,1.29E-05,5.23E-06,1.10E-05,9.85E-06,8.98E-06,7.00E-06,9.23E-06,6.20E-06,5.08E-06,4.37E-06,7.78E-06,8.08E-06,7.59E-06,8.15E-06,9.51E-06
b0679,4.42E-06,2.93E-05,1.35E-05,6.43E-06,9.64E-06,3.05E-05,9.05E-06,1.10E-05,2.06E-05,2.69E-05,2.24E-05,2.37E-05,4.73E-06,1.54E-05,1.89E-05,9.46E-06,8.33E-06
b0903,7.67E-05,0.000115964,0.00010717,9.37E-05,9.03E-05,0.000102598,9.73E-05,0.000108929,0.00011104,9.97E-05,9.05E-05,8.10E-05,9.97E-05,0.000116668,9.59E-05,0.000110219,0.000126635
b2239,2.72E-06,2.16E-05,2.32E-05,1.53E-06,1.75E-06,2.16E-06,1.03E-05,1.44E-06,1.79E-06,1.46E-06,1.16E-06,1.09E-06,8.77E-07,1.25E-06,6.96E-07,1.07E-06,1.37E-06
b1014,2.13E-06,2.51E-05,1.45E-05,1.95E-06,2.05E-06,2.86E-06,2.23E-06,1.99E-06,2.80E-06,2.50E-06,1.79E-06,1.58E-06,2.74E-06,1.89E-06,1.28E-06,1.89E-06,2.26E-06
b3212,4.75E-05,1.01E-05,1.08E-05,2.26E-05,2.13E-05,3.28E-05,3.66E-05,2.81E-05,3.85E-05,3.25E-05,2.94E-05,2.29E-05,4.14E-05,3.45E-05,2.32E-05,2.58E-05,6.43E-05
b3213,4.93E-05,5.37E-06,8.26E-06,2.16E-05,2.50E-05,2.79E-05,3.87E-05,2.58E-05,2.37E-05,2.14E-05,2.06E-05,1.58E-05,3.87E-05,2.46E-05,2.73E-05,2.31E-05,5.00E-05
b3835,5.24E-08,1.55E-07,4.31E-08,4.23E-08,3.91E-08,3.09E-08,3.72E-08,3.72E-08,1.14E-07,8.06E-08,1.10E-07,9.69E-08,5.61E-09,6.30E-09,5.45E-09,1.46E-08,2.80E-08
b2296,5.09E-05,0.000142906,6.57E-05,2.43E-05,3.98E-05,3.42E-05,4.30E-05,0.000137357,3.33E-05,3.35E-05,3.38E-05,3.31E-05,8.30E-05,6.13E-05,4.95E-05,5.69E-05,7.93E-05
b1094,0.00048049,0.00075091,0.000743947,0.000253011,0.000470044,0.00042362,0.000479329,0.000408532,0.000367911,0.00030872,0.000262296,0.000261136,0.000579141,0.000502541,0.000425941,0.000493256,0.000511826
