,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
MCITL2,1.626575499,0.304898675,1.851645803,0.239305745
MCITL2_REV,1.626575499,0.304898675,1.861674889,0.255108429
SOTA,0.477121255,1,0.477121255,1
PTA2,2.101338031,0.81284297,3.086667681,0.285600346
ACOTA,0.190331698,1,0.190331698,1
ACOTA_REV,0.052072775,0.138258923,0.123967415,0.118096107
PPBNGS,1.206825876,1,1.206825876,1
PPNCL2,0.108652921,0.250350465,0.316619569,0.233802516
PRFGS,-1.301029996,1,-1.301029996,1
ETHAAL,2.313426707,0.573064018,2.588497436,0.502731004
AP4AH,2.397940009,1,2.397940009,1
AP5AH,-0.129072048,0.664711786,0.360565184,0.414222724
ADNCYC,0.121897144,2.480401148,2.25806519,1.791908538
MI1PP,0.994101888,0.741459379,2.314694809,0.292726455
MCITS,0.916453949,1,0.916453949,1
PPAKr,1.970689117,0.111311925,2.074350676,0.010988357
PPAKr_REV,1.970689117,0.111311925,2.075655816,0.009878357
NTP3,-0.296763215,0.35594546,0.305294951,0.080055348
PPM2,1.008600172,1,1.008600172,1
PPM2_REV,1.008600172,1,1.008600172,1
G6PDH2r,3.297610283,0.246457761,3.425768319,0.210515904
