Value,Category,Type
0.3621952343183468,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3618820180300292,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3618088268853292,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3614892762619563,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36126051337018134,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36125211684869224,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3611848586183301,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3610514232842036,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3605940537274127,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3605870103522196,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36052464940960816,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3603707237802581,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3602258227878649,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3601975018760039,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3598119716253195,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3596481531415694,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3596144432502529,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35952306367871273,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3589619217023111,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35884583378333623,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35883016317368316,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35870155589170816,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3579267977151954,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3577562889937584,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3577519430416097,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3575256475873843,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35737151591711436,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3569044526029514,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3568957915105266,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35676929079026903,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3566353824813132,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3563577114430572,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35634194898473626,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35625731541651146,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35621656625273856,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3559987705476762,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3558951468229676,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3556795096550196,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35549547965525186,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35470564432909696,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3542177512125008,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35396755505369665,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35393935859373626,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35375352570556357,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35371655477435193,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3536510250471996,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35334298125555114,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35322018323332394,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3530091321362903,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3530024196361161,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.352977028229089,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35276319111264404,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35231617770763757,GAN+<i>V</i><sub>syn</sub>,Corr_All
