NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YDL090C,P22007,YDL090C,P22007,3.354370245,P22007,7.008239,3.354370245,7.008239,0.098904615
YDL095W,P33775,YDL095W,P33775,2.667785994,P33775,10.67349,2.667785994,10.67349,0.064941006
YDL100C,Q12154,YDL100C,Q12154,2.44861903,Q12154,13.06386,2.44861903,13.06386,0.053058375
YDL103C,P43123,YDL103C,P43123,2.609342135,P43123,11.43152,2.609342135,11.43152,0.060634735
YDL120W,Q07540,YDL120W,Q07540,1.910162659,Q07540,4.93716,1.910162659,4.93716,0.140393907
YDL131W,Q12122,YDL131W,Q12122,2.917978415,Q12122,11.85336,2.917978415,11.85336,0.058476852
YDL141W,P48445,YDL141W,P48445,8.621364369,P48445,10.64134,8.621364369,10.64134,0.065137208
YDL166C,Q12055,YDL166C,Q12055,1.635397146,Q12055,8.989406,1.635397146,8.989406,0.077107117
YDL168W,P32771,YDL168W,P32771,1.660806648,P32771,11.81746,1.660806648,11.81746,0.058654498
YDL171C,Q12680,YDL171C,Q12680,2.08892493,Q12680,8.534926,2.08892493,8.534926,0.081213028
YDL174C,P32891,YDL174C,P32891,2.081770075,P32891,6.563312,2.081770075,6.563312,0.10560936
YDL178W,P46681,YDL178W,P46681,2.300969531,P46681,9.040331,2.300969531,9.040331,0.076672766
YDL182W,P48570,YDL182W,P48570,3.438289056,P48570,13.19205,3.438289056,13.19205,0.052542795
YDL185W,P17255,YDL185W,P17255,2.730743558,P17255,8.769485,2.730743558,8.769485,0.079040808
YDL198C,P38988,YDL198C,P38988,2.186784274,P38988,13.17519,2.186784274,13.17519,0.052610033
YDL205C,P28789,YDL205C,P28789,2.033917357,P28789,14.34201,2.033917357,14.34201,0.048329849
YDL215C,P33327,YDL215C,P33327,4.711621656,P33327,13.32299,4.711621656,13.32299,0.052026398
YDL219W,Q07648,YDL219W,Q07648,2.3474649,Q07648,11.34231,2.3474649,11.34231,0.061111641
YDL236W,P19881,YDL236W,P19881,1.889478709,P19881,9.398453,1.889478709,9.398453,0.073751199
YDR001C,P32356,YDR001C,P32356,4.13977774,P32356,9.437334,4.13977774,9.437334,0.073447351
YDR007W,P00912,YDR007W,P00912,2.145837937,P00912,13.70359,2.145837937,13.70359,0.05058143
YDR017C,Q12494,YDR017C,Q12494,2.063362331,Q12494,5.84952,2.063362331,5.84952,0.11849642
YDR019C,P48015,YDR019C,P48015,4.096158599,P48015,9.674488,4.096158599,9.674488,0.071646911
YDR020C,Q12084,YDR020C,Q12084,2.024930549,Q12084,8.822927,2.024930549,8.822927,0.078562044
YDR023W,P07284,YDR023W,P07284,1.728732959,P07284,10.45083,1.728732959,10.45083,0.066324606
YDR035W,P14843,YDR035W,P14843,2.122853561,P14843,15.41253,2.122853561,15.41253,0.044972966
YDR036C,P28817,YDR036C,P28817,2.299553118,P28817,7.472026,2.299553118,7.472026,0.092765627
YDR037W,P15180,YDR037W,P15180,1.486502711,P15180,12.148,1.486502711,12.148,0.057058543
YDR039C,Q01896,YDR039C,,,Q01896,3.799187,3.799187,3.799187,0.182446187
YDR040C,P13587,YDR040C,,,P13587,2.837224,2.837224,2.837224,0.244304708
YDR044W,P11353,YDR044W,P11353,2.774346462,P11353,12.07477,2.774346462,12.07477,0.057404587
YDR047W,P32347,YDR047W,P32347,3.095293743,P32347,42.98102,3.095293743,42.98102,0.01612682
YDR050C,P00942,YDR050C,P00942,3.073705929,P00942,11.20392,3.073705929,11.20392,0.061866488
YDR051C,Q99288,YDR051C,Q99288,2.184617749,Q99288,8.990775,2.184617749,8.990775,0.077095376
YDR062W,P40970,YDR062W,P40970,2.124237026,P40970,8.603166,2.124237026,8.603166,0.080568849
YDR071C,Q12447,YDR071C,Q12447,2.184426875,Q12447,10.64907,2.184426875,10.64907,0.065089926
