Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
Q0105,0.310040533,0.102051249,9.98E-06,1.51E-05
YBL045C,0.224882291,0.07780274,4.77E-06,9.71E-06
YDR529C,0.206119601,4.01515809,2.17E-05,4.02E-05
YEL024W,0.225853177,0.13124648,1.77E-06,2.81E-06
YFR033C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR183C,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR001W-A,0.262528933,0.271213311,9.98E-06,1.51E-05
YJL166W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR065W,0.310040533,0.102051249,9.98E-06,1.51E-05
YPR191W,0.220964112,0.065976442,9.98E-06,1.51E-05
YDL045C,0.250540945,0.077398807,7.45E-09,1.40E-08
YLR011W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR388C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR204W,0.222666915,0.052357805,8.42E-06,1.12E-05
YBR084W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR345W,0.085450918,0.068309408,4.28E-07,9.14E-07
YJL155C,0.124162735,0.068831931,7.02E-08,1.41E-07
YLR377C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL262W,0.236922509,0.074086147,8.93E-06,1.43E-05
YKL216W,0.592232026,0.068719061,4.54E-07,8.31E-07
YEL047C,0.197269101,0.059970789,1.52E-06,2.12E-06
YLR299W,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR020W,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR018C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL101C,0.308010539,0.083528555,9.98E-06,1.51E-05
YPR184W,0.310040533,0.102051249,9.98E-06,1.51E-05
YIL099W,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL241C,0.236657931,0.041562912,3.20E-06,6.27E-06
YBR196C,0.225964136,0.05244476,3.41E-05,4.96E-05
YDR300C,0.43791098,0.063724253,2.32E-07,2.29E-07
YMR250W,0.043839345,0.072877142,5.02E-09,5.75E-09
YDL215C,0.147114355,0.052026398,2.16E-07,3.08E-07
YAL062W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR375C,0.176403073,0.040179394,4.76E-05,7.37E-05
YDL171C,0.331820053,0.081213028,2.81E-06,4.28E-06
YOR323C,0.363830459,0.060435267,1.49E-06,3.50E-06
YFL060C,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL334C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPR035W,0.24737929,0.103410846,5.03E-05,8.74E-05
YMR084W,0.310040533,0.102051249,9.98E-06,1.51E-05
YKL104C,0.2565789,0.053076861,2.06E-06,2.27E-06
YOR168W,0.407651162,0.065134699,1.78E-06,2.50E-06
YGL245W,0.343399048,0.063737906,8.97E-06,1.72E-05
YOL033W,0.310040533,0.102051249,9.98E-06,1.51E-05
YCL035C,0.168368758,0.073077138,2.45E-05,3.44E-05
YPL091W,0.316269795,0.081988568,1.94E-06,2.57E-06
YDR098C,0.31409175,0.050920876,9.98E-06,1.51E-05
YDR513W,0.2005287,0.091472747,6.89E-07,9.19E-07
YER174C,0.449871809,0.070108493,4.67E-07,3.95E-07
YPL059W,0.278514116,0.095897162,3.42E-07,4.25E-07
YNL229C,0.366315463,0.08851506,9.98E-06,1.51E-05
YBR244W,0.310040533,0.102051249,9.98E-06,1.51E-05
YIR037W,0.188070267,0.068506885,4.07E-06,7.05E-06
YKL026C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOL049W,0.251988199,0.072184236,7.35E-07,8.97E-07
YGR192C,0.214142766,0.054059968,0.000420474,0.000678492
YJL052W,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR009C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR120W,0.109219292,0.146349211,2.03E-07,2.75E-07
