error,corr,pvalue,number,RMSE
4.120577284,0.430584506,1.58E-10,274,4.917478757
3.988581909,0.40346391,1.78E-09,271.375,4.986307622
4.101644948,0.418867363,1.18E-11,280.0625,4.206891205
3.912505916,0.38058844,1.04E-08,280.75,4.372925832
3.947154043,0.404136791,1.01E-07,275.375,5.896946731
3.91275998,0.388708223,1.56E-06,265.1875,5.14476451
4.071987456,0.43771934,6.21E-12,270.4375,6.592446756
3.985740681,0.424023383,3.96E-09,284.3125,7.02266231
4.076652295,0.414652031,1.81E-10,282.125,4.349942981
4.022042861,0.402020977,4.10E-10,270.3125,4.250406432
4.117283392,0.447769931,6.16E-13,276.3125,6.658157823
3.948951741,0.393478219,1.55E-08,276.75,4.898304983
4.039311517,0.419455578,2.18E-11,276.75,5.557759474
4.044327909,0.413036685,1.24E-06,276.125,4.865661331
3.977713684,0.403943264,2.33E-09,280.125,5.339096879
3.965414426,0.398956878,7.43E-10,277.6875,5.129339283
3.973716971,0.391675189,9.05E-09,283.5625,4.283376193
3.983151742,0.398737484,3.30E-09,271.8125,4.762661567
4.047385102,0.402102537,1.22E-09,280.0625,3.808095572
4.02197381,0.409287436,1.48E-10,274.875,4.985769016
4.061613249,0.414342988,7.05E-11,281.4375,4.678729845
4.089555279,0.429769211,5.02E-10,274.5625,5.577652367
4.058407314,0.417355571,2.82E-09,280.5625,5.045111191
4.025287678,0.40049037,1.22E-11,269.9375,4.120754262
4.025074313,0.402029333,9.13E-08,273.75,4.289105097
3.912393576,0.392230435,4.84E-10,280.9375,5.601546864
3.99949627,0.394309768,7.93E-09,280.5,4.100937165
3.971456822,0.398296927,5.80E-10,264.6875,5.043451938
4.049023615,0.413690879,2.85E-11,278.1875,4.953501366
4.064323979,0.430885929,5.42E-12,269.8125,6.278615966
4.005640804,0.414789109,2.24E-11,276.125,5.934315165
4.045940702,0.423364657,2.70E-11,271,5.947807206
3.983072443,0.398521438,6.06E-11,274.0625,4.862495362
4.092948757,0.429452611,1.91E-10,273.4375,5.592461056
4.016345948,0.402654787,8.74E-10,277.3125,4.600923571
4.006997611,0.40190398,1.10E-09,283.8125,4.720227997
4.047473335,0.40646914,2.35E-10,281.4375,4.360160754
4.092074456,0.433978698,6.80E-12,279.1875,6.065963302
4.11630222,0.448522652,2.18E-13,280.25,6.951002348
3.985322932,0.399789299,7.54E-10,285.9375,4.97275947
3.95653857,0.406258864,3.78E-09,272,6.150353359
3.923431424,0.384713459,7.38E-09,269,4.791260758
3.948490753,0.383637495,2.57E-09,267.9375,4.19822849
4.037103693,0.408877333,1.29E-10,273.8125,4.817610563
3.969272296,0.389931893,8.35E-10,279.75,4.384117335
4.017698295,0.40154333,1.46E-09,278.875,4.526789331
4.110265042,0.43826624,1.05E-10,272.4375,6.149663984
3.972416649,0.404024806,1.56E-11,275.5,5.667823004
3.970796397,0.401137468,8.97E-11,275.8125,5.439210422
4.040999778,0.41752869,3.92E-11,277.375,5.59032769
4.07027852,0.412814301,2.33E-07,281.75,4.58028866
4.063386799,0.418269235,7.65E-10,277.5625,5.228793931
4.044866625,0.41143751,6.99E-09,273,4.956732869
4.000747663,0.396794118,5.14E-11,277.875,4.459112434
4.054071771,0.4224112,9.00E-09,278.125,5.812859214
3.981756803,0.421056958,6.18E-12,272.25,7.116999257
4.066691971,0.417356209,9.97E-11,272.375,5.092813888
3.98666023,0.394194941,5.15E-06,276.1875,4.511894279
4.153888876,0.432833428,4.09E-12,277.875,4.828802287
4.026677422,0.413696308,5.03E-10,280.8125,5.551713856
4.047665029,0.402928557,5.30E-08,270.1875,4.134227522
3.994425777,0.391116774,7.79E-09,288.0625,4.080527734
3.97611263,0.395426992,8.18E-10,284,4.849919041
4.053478255,0.404797962,1.56E-10,281.125,4.201948451
4.019862077,0.411088142,2.91E-11,283.4375,5.462513323
4.036695993,0.412379808,2.07E-09,280.0625,5.255277136
4.115286881,0.420545442,1.73E-09,275.5625,4.467769087
4.047623258,0.410932842,2.51E-09,274.125,4.919720514
3.933540128,0.381666637,5.27E-07,276.5625,4.434019701
4.108413826,0.42094506,2.39E-09,280.9375,4.658498115
4.01313944,0.412304273,4.49E-10,271.4375,5.733131229
4.018850118,0.428662415,1.76E-10,274.3125,7.157690818
3.991744755,0.407861681,1.74E-08,280.5625,5.744039976
3.964263509,0.389483107,4.91E-09,274.125,4.577984433
3.969880363,0.387770781,3.86E-09,271.4375,4.310116929
4.09909072,0.40743887,6.39E-11,278.0625,3.598939438
4.137014711,0.420173709,7.48E-11,281.875,4.051035613
4.026694789,0.421208106,1.02E-12,278.3125,6.331259197
4.064382648,0.398904445,7.48E-07,274.5,3.49419225
4.002718248,0.416833615,1.59E-11,276.9375,6.40597291
4.084789521,0.417761645,1.59E-08,279.25,4.878545682
4.102537186,0.430450201,2.52E-10,271.0625,5.717927335
4.188419878,0.429942636,6.56E-13,276.0625,3.973234673
4.012106664,0.397994357,1.14E-10,283.8125,4.466870504
4.00266929,0.388456078,1.94E-11,282.875,3.762831692
4.048096171,0.413966625,1.02E-10,283.9375,5.268657548
4.006389755,0.389772346,3.73E-10,281.1875,3.825838164
3.982177656,0.395526311,3.10E-08,284.6875,4.853151929
4.068892912,0.434723018,7.22E-12,280.875,6.820560872
4.003840842,0.393000249,6.42E-10,282.0625,4.199004529
4.131393557,0.427235523,4.77E-10,278.0625,4.888876141
4.043651371,0.411080384,7.31E-10,280.3125,5.122244493
4.007918238,0.395149858,1.59E-08,280.4375,4.344110173
4.113809173,0.415830274,7.05E-10,277.6875,4.189810267
3.957669359,0.396309521,1.36E-09,277.5625,5.453661834
4.005129526,0.408306801,2.24E-09,273,5.642265587
4.04497472,0.407290002,7.61E-09,274,4.767738811
3.971803227,0.392334593,1.44E-10,279.5,4.821759764
4.017260115,0.401497305,1.95E-10,278.5625,4.787426369
4.039872696,0.414295529,2.86E-11,284,5.541055453
4.033374389,0.403741188,8.15E-11,278.9375,4.681725095
4.019720318,0.419174582,9.22E-12,273.6875,6.402251548
4.056215383,0.41681386,9.84E-10,280.25,5.471833088
4.022023172,0.416706248,2.16E-10,276.9375,6.140896686
4.093543443,0.421317086,5.07E-12,271.625,5.161197977
4.036071018,0.409568206,5.17E-07,274.75,5.201130956
4.032693643,0.420613139,1.79E-09,273.6875,6.309518702
4.141679574,0.418368042,2.30E-10,274.1875,3.955540703
4.043611999,0.394661016,6.03E-09,281.625,3.700485491
4.072405593,0.428218753,1.06E-11,278.6875,6.281740325
4.068177033,0.421394631,3.08E-09,268.125,5.725930138
4.004583398,0.400138703,9.04E-09,267.4375,5.007687626
3.953875418,0.383000784,2.29E-08,284.6875,4.406109314
3.984129076,0.418824946,1.18E-08,276.375,7.169528288
4.104413975,0.412501852,9.19E-11,284.25,4.201381522
4.004238784,0.393827589,2.81E-10,284.25,4.43663841
