geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_4007,3.2562255e-06,YCL030C
Yarrowia_lipolytica_Seq_401,7.28256e-06,YKL094W
Yarrowia_lipolytica_Seq_4013,9.6950525e-07,YBR084W
Yarrowia_lipolytica_Seq_4026,1.1349745000000002e-06,YGL039W
Yarrowia_lipolytica_Seq_4033,5.946689325e-05,YJR010W
Yarrowia_lipolytica_Seq_4036,3.66818265e-05,YNR050C
Yarrowia_lipolytica_Seq_4052,1.99738075e-06,Metschnikowia_shivogae_Seq_453
Yarrowia_lipolytica_Seq_4060,1.001799425e-05,YDL171C
Yarrowia_lipolytica_Seq_4063,6.391075e-08,YIL107C
Yarrowia_lipolytica_Seq_4067,9.82323125e-06,YMR170C
Yarrowia_lipolytica_Seq_4073,6.37786125e-06,YCR010C
Yarrowia_lipolytica_Seq_4079,9.31515e-07,YGR157W
Yarrowia_lipolytica_Seq_4101,5.951161975e-05,YLR354C
Yarrowia_lipolytica_Seq_4131,2.1495495e-06,YGL040C
Yarrowia_lipolytica_Seq_4134,5.9800027499999995e-06,YNL052W
Yarrowia_lipolytica_Seq_4158,3.90873325e-06,yHMPu5000026124_Ogataea_henricii_Seq_5027
Yarrowia_lipolytica_Seq_4193,3.6392499999999997e-07,YDL080C
Yarrowia_lipolytica_Seq_4194,6.90878175e-06,YMR256C
Yarrowia_lipolytica_Seq_4201,5.186427999999999e-06,YBR041W
Yarrowia_lipolytica_Seq_4226,3.61557e-06,yHMPu5000035665_Middelhovenomyces_tepae_Seq_3639
Yarrowia_lipolytica_Seq_4237,6.9512625e-08,YDR093W
Yarrowia_lipolytica_Seq_4240,1.3945675e-06,YBL011W
Yarrowia_lipolytica_Seq_4253,2.4737925000000003e-06,YGR260W
Yarrowia_lipolytica_Seq_4259,6.357940000000001e-07,YOR202W
Yarrowia_lipolytica_Seq_426,1.1032669999999998e-06,YGR032W
Yarrowia_lipolytica_Seq_4272,5.164225e-08,YDL174C
Yarrowia_lipolytica_Seq_4275,7.725882499999999e-06,YAL012W
Yarrowia_lipolytica_Seq_428,4.2103287500000005e-06,YBL091C
Yarrowia_lipolytica_Seq_4307,2.0260537500000005e-06,YGR185C
Yarrowia_lipolytica_Seq_4311,6.7736e-07,YNR019W
Yarrowia_lipolytica_Seq_433,1.5627213500000002e-05,YDL055C
Yarrowia_lipolytica_Seq_4347,6.07679e-06,YGL191W
Yarrowia_lipolytica_Seq_4358,3.4923494999999996e-06,YML056C
Yarrowia_lipolytica_Seq_4375,3.4344475000000004e-07,YMR165C
Yarrowia_lipolytica_Seq_4396,4.1281725e-07,YGL167C
Yarrowia_lipolytica_Seq_4409,2.654406675e-05,YGR244C
Yarrowia_lipolytica_Seq_4419,1.637945775e-05,YNL071W
Yarrowia_lipolytica_Seq_4434,1.36826325e-06,YMR054W
Yarrowia_lipolytica_Seq_4451,1.3393374000000002e-05,yHMPu5000034661_Dipodascus_albidus_Seq_3608
Yarrowia_lipolytica_Seq_4452,5.34173075e-06,YER023W
Yarrowia_lipolytica_Seq_4454,2.2003887499999998e-06,YER070W
Yarrowia_lipolytica_Seq_4455,1.9253694999999997e-06,YMR189W
Yarrowia_lipolytica_Seq_4461,6.3761372e-05,YDR502C
Yarrowia_lipolytica_Seq_4472,1.9925875e-07,YDL178W
Yarrowia_lipolytica_Seq_4478,2.1078025e-08,YDR040C
Yarrowia_lipolytica_Seq_4495,6.47791e-07,yHMPu5000035633_Candida_hispaniensis_Seq_2087
Yarrowia_lipolytica_Seq_4510,1.8775636249999998e-05,YGR240C
Yarrowia_lipolytica_Seq_4522,1.9611777500000004e-06,YNL169C
Yarrowia_lipolytica_Seq_4526,1.5609837499999999e-06,YBR291C
Yarrowia_lipolytica_Seq_4530,5.0919e-08,YGL125W
Yarrowia_lipolytica_Seq_454,5.097305749999999e-06,YPR021C
Yarrowia_lipolytica_Seq_4542,2.8023287499999997e-06,YOR040W
Yarrowia_lipolytica_Seq_4554,3.0582857249999996e-05,YIL125W
Yarrowia_lipolytica_Seq_4557,5.810936999999998e-06,YNL220W
Yarrowia_lipolytica_Seq_4558,1.856145e-07,Metschnikowia_kipukae_Seq_1387
Yarrowia_lipolytica_Seq_4563,2.0086325e-06,YLR447C
Yarrowia_lipolytica_Seq_4593,3.8971875e-07,YLR209C
Yarrowia_lipolytica_Seq_4602,3.0462625e-07,YNL268W
Yarrowia_lipolytica_Seq_4617,1.7735245e-06,YGR248W
Yarrowia_lipolytica_Seq_4637,1.9037611e-05,YBR127C
Yarrowia_lipolytica_Seq_4642,3.1657075e-07,YOR360C
Yarrowia_lipolytica_Seq_4645,4.76460125e-06,YPL160W
Yarrowia_lipolytica_Seq_4646,6.737588249999999e-06,YDL052C
Yarrowia_lipolytica_Seq_4648,1.041063725e-05,YPR160W
Yarrowia_lipolytica_Seq_4680,4.435479250000001e-06,YLL001W
Yarrowia_lipolytica_Seq_4692,1.9601272499999996e-06,YDR380W
Yarrowia_lipolytica_Seq_4751,1.551939e-06,YER090W
Yarrowia_lipolytica_Seq_4762,1.9649682749999997e-05,YOR142W
Yarrowia_lipolytica_Seq_4786,6.0890879999999995e-06,YHR019C
Yarrowia_lipolytica_Seq_4803,1.1575521e-05,YBL015W
Yarrowia_lipolytica_Seq_4811,6.38080225e-06,YNL104C
Yarrowia_lipolytica_Seq_4819,6.675981999999998e-06,YFL045C
Yarrowia_lipolytica_Seq_4829,5.931670999999999e-06,YBR039W
Yarrowia_lipolytica_Seq_485,7.373824999999999e-08,YGR255C
Yarrowia_lipolytica_Seq_4864,6.9884175e-07,Metschnikowia_matae_Seq_2628
Yarrowia_lipolytica_Seq_4875,1.327532e-05,YKL182W
Yarrowia_lipolytica_Seq_4877,1.0862696e-05,YOL077W-A
Yarrowia_lipolytica_Seq_4878,6.8714975e-07,Metschnikowia_dekortum_Seq_4089
Yarrowia_lipolytica_Seq_488,8.581342499999999e-07,YEL031W
Yarrowia_lipolytica_Seq_4890,1.0355375e-07,YGR007W
Yarrowia_lipolytica_Seq_490,3.3287037500000003e-06,YLR305C
Yarrowia_lipolytica_Seq_4904,1.510539525e-05,YER003C
Yarrowia_lipolytica_Seq_4906,1.1872317e-05,YLL018C
