protein,region,n_species,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YIL099W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL107C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL111W,S_cerevisiae,1,0,0,0,1
YIL116W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL124W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YIL125W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL134W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL145C,S_cerevisiae,1,0,0,0,1
YIL155C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL160C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL162W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL172C,S_cerevisiae,1,0,0,0,1
YIR027C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR028W,S_cerevisiae,1,0,0,0,1
YIR029W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR031C,S_cerevisiae,1,0,0,0,1
YIR032C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR034C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR036C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR037W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIR038C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YJL003W,S_cerevisiae,1,0,0,0,1
YJL005W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL026W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL045W,S_cerevisiae,1,0,0,0,1
YJL046W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL052W,S_cerevisiae,1,0,0,0,1
YJL060W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL068C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL071W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL088W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL091C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL097W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL100W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL101C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL121C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL126W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL129C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL130C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL133W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL134W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL137C,S_cerevisiae,1,0,0,0,1
YJL139C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL153C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL155C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL166W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YJL167W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL168C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL180C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL196C,S_cerevisiae,1,0,0,0,1
YJL198W,S_cerevisiae,1,0,0,0,1
YJL200C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL212C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJL214W,S_cerevisiae,1,0,0,0,1
YJL216C,S_cerevisiae,1,0,0,0,1
YJL219W,S_cerevisiae,1,0,0,0,1
YJL221C,S_cerevisiae,1,0,0,0,1
YJR001W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR009C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR010W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR013W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR016C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR019C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR024C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR025C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YJR040W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR048W,S_cerevisiae,1,0,0,0,1
YJR049C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR051W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YJR057W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR069C,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YJR073C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR077C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YJR078W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YJR095W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR103W,S_cerevisiae,1,0,0,0,1
YJR104C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR105W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR109C,S_cerevisiae,1,0,0,0,1
YJR110W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR121W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YJR130C,S_cerevisiae,1,0,0,0,1
