protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YNL037C,0.4489269064548904,-0.6179352170139131,-1.2197846922760833,1.388793002835106
YNL045W,-0.5072888932697801,-0.21080272741709413,-0.9525166931287157,1.6706083138155912
YNL052W,0.37738173987377893,1.0659747888381126,0.19473914531165776,-1.6380956740235493
YNL071W,1.1887296026795642,-0.10603153879043194,0.4560379781273476,-1.538736042016479
YNL106C,-0.500529218236308,-0.3075350562283455,-0.8860083185382153,1.6940725930028688
YNL117W,0.6869052675415761,1.2215055932521157,-0.6262807193122927,-1.2821301414813984
YNL202W,0.4213764244614084,-1.4490413586754314,1.286708084929706,-0.25904315071568174
YNL220W,-0.5964150754953164,-0.13061127714066983,-0.9332030789383383,1.6602294315743247
YNL241C,0.7009753389712847,-0.5337092780115916,-1.350479314198584,1.1832132532388908
YNR008W,-0.11580181380882713,-0.8499217491260841,-0.6999129139579233,1.665636476892834
YNR016C,0.8844818536111819,-1.6233197887809776,-0.024017156049944016,0.7628550912197432
YNR043W,-0.4494365537276941,-0.8916272784227729,-0.3550853321208764,1.6961491642713442
YNR050C,0.4679332073750112,-1.40950083283253,-0.3511258900443869,1.2926935155019057
YOL049W,0.5124853530672778,1.2514976889408522,-1.4366509711268753,-0.32733207088126803
YOL059W,0.9247418135019042,-1.3767142994533035,-0.5314339680080921,0.9834064539594923
YOL061W,0.8288683035114972,0.6819945141423284,-1.6791487874740056,0.16828596982018185
YOL097C,0.7510310658264326,-1.5107676007936521,-0.277753885912171,1.0374904208793896
YOL140W,0.2561750457856447,-0.5399408948720058,1.4840037550587655,-1.2002379059724053
YOL143C,0.537890734325259,1.2217042792294708,-1.4586001096464682,-0.3009949039082623
