all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YOL127W,3.09E-05,3.40E-05,4.44E-05,5.37E-05,4.43E-05,5.63E-05,5.83E-05,6.67E-05,6.24E-05
YIL018W,1.67E-05,1.75E-05,2.29E-05,2.77E-05,2.32E-05,2.86E-05,3.02E-05,3.37E-05,3.18E-05
YOR234C,,,,,,,,5.95E-05,
YDR198C,,,,,,,,,
YDR257C,4.15E-08,4.18E-08,5.22E-08,5.35E-08,2.90E-08,3.84E-08,4.31E-08,4.98E-08,4.60E-08
YJL177W,3.87E-06,3.97E-06,4.77E-06,5.77E-06,5.01E-06,5.78E-06,6.18E-06,6.91E-06,6.57E-06
YOL120C,6.44E-06,6.86E-06,8.93E-06,1.09E-05,8.55E-06,1.11E-05,1.17E-05,1.29E-05,1.26E-05
YFL034C-A,1.56E-06,2.01E-06,1.92E-06,2.20E-06,1.60E-06,1.89E-06,2.01E-06,1.82E-06,1.68E-06
YPR182W,4.25E-07,3.98E-07,2.66E-07,4.80E-07,6.17E-07,4.85E-07,2.98E-07,1.29E-06,1.06E-06
YDR388W,1.24E-06,1.22E-06,1.34E-06,1.38E-06,9.93E-07,1.03E-06,9.97E-07,1.02E-06,9.33E-07
YDL119C,,,,,,,,,
YDR389W,,4.63E-09,7.35E-09,,,,,,
YBL052C,,,,,,,,,
YIL026C,7.26E-09,7.49E-09,1.20E-08,1.11E-08,1.44E-08,1.30E-08,1.31E-08,9.45E-09,1.31E-08
YGR049W,4.05E-07,5.52E-07,8.02E-07,7.78E-07,3.76E-07,2.54E-07,1.70E-07,1.41E-07,1.43E-07
YER120W,2.16E-06,2.13E-06,2.34E-06,2.56E-06,1.76E-06,1.88E-06,1.82E-06,1.84E-06,1.67E-06
YMR305C,2.74E-07,1.75E-07,1.79E-07,2.12E-07,1.81E-07,1.92E-07,1.88E-07,1.74E-07,1.85E-07
YGR279C,1.08E-06,1.21E-06,1.67E-06,1.83E-06,1.41E-06,1.74E-06,1.49E-06,1.52E-06,1.35E-06
YJL045W,6.29E-07,7.10E-07,4.99E-07,3.48E-07,,,,9.71E-08,
YLR268W,5.13E-07,4.13E-07,4.37E-07,4.75E-07,3.66E-07,3.91E-07,3.87E-07,4.07E-07,3.67E-07
YOR254C,3.35E-07,3.53E-07,4.54E-07,5.05E-07,3.92E-07,4.43E-07,4.30E-07,4.19E-07,3.58E-07
YIL068C,,3.98E-08,5.16E-08,,,,4.84E-08,,
YGL245W,5.16E-06,5.61E-06,6.84E-06,8.12E-06,6.79E-06,8.21E-06,8.35E-06,9.12E-06,8.20E-06
YLR182W,,,,,,,,,
YFL049W,,,,,,,,,
YDR334W,,,,,,,,,
YDR416W,,,,,,,,,
YPR033C,,,,,,,,,
YNL073W,,,,6.92E-08,6.80E-08,7.47E-08,1.12E-07,1.19E-07,1.16E-07
YLR251W,,,,,,,,,
YER087W,9.42E-08,,1.10E-07,1.18E-07,1.17E-07,1.06E-07,1.17E-07,1.08E-07,1.21E-07
YHR091C,8.09E-08,,5.11E-08,5.17E-08,5.22E-08,,,,
YPL138C,,,,,,,,,
YOR190W,,,,,,,,,
YJL127C,,,,,,,,,
YGL207W,1.15E-06,1.23E-06,1.41E-06,1.57E-06,1.14E-06,1.23E-06,1.26E-06,1.22E-06,1.10E-06
YDR392W,,,,,,,,,
YGR116W,3.78E-07,4.10E-07,5.24E-07,5.47E-07,4.29E-07,4.95E-07,4.96E-07,5.08E-07,4.22E-07
YDL133W,,,,,,,,,
YKR091W,,,,,,,,,
YPL210C,1.96E-07,2.03E-07,2.34E-07,2.73E-07,1.94E-07,2.15E-07,2.04E-07,1.92E-07,1.73E-07
YMR101C,,,,,,,,,
YHR139C,,,,,,,,,
YDL229W,2.01E-05,2.27E-05,3.19E-05,4.06E-05,3.48E-05,4.47E-05,5.31E-05,6.04E-05,5.83E-05
YDR312W,1.06E-07,1.30E-07,1.22E-07,1.17E-07,9.12E-08,1.16E-07,1.02E-07,9.75E-08,1.05E-07
YBR283C,,,,,,,,,
YLR006C,,,,,,,,,
YPL042C,,,,,,,,,
YMR183C,2.78E-06,2.54E-06,2.43E-06,2.49E-06,1.65E-06,1.72E-06,1.82E-06,1.73E-06,1.46E-06
YLR452C,,,,,,,,,
YNL222W,3.06E-08,3.60E-08,3.01E-08,4.17E-08,,3.61E-08,3.16E-08,,2.89E-08
YHR064C,4.63E-06,4.87E-06,6.54E-06,7.98E-06,6.48E-06,7.72E-06,7.81E-06,8.32E-06,7.71E-06
YMR053C,,,,,,,,,
YKL072W,,,,,,,,,
YOR047C,,,,,,,,,
YOR219C,,,,,,,,,
YLR389C,3.29E-07,3.30E-07,3.51E-07,4.12E-07,2.68E-07,3.57E-07,3.46E-07,3.74E-07,3.27E-07
YGR008C,,,,,,,,,
YIL126W,1.42E-07,1.42E-07,1.82E-07,2.12E-07,1.60E-07,2.02E-07,2.06E-07,2.00E-07,1.76E-07
YDR536W,,,,,,,,,
YPR003C,,,,,,,,,
YBR111W-A,1.56E-07,,,,,3.22E-07,,,1.98E-07
YPL163C,,,,,,,,,
YBR231C,,,,,,,,,
YLR385C,,,,,,,,,
YAR003W,,8.96E-08,,,,,,,1.47E-07
YDR126W,,,,,,,,,
YDR395W,1.94E-07,1.88E-07,2.10E-07,2.45E-07,1.86E-07,1.96E-07,2.03E-07,2.14E-07,2.02E-07
YDR341C,3.15E-06,3.07E-06,3.38E-06,3.77E-06,2.74E-06,3.04E-06,3.09E-06,2.99E-06,2.73E-06
YPR095C,,,,,,,,,
YGL243W,,,,,,,,,
YDR167W,2.55E-07,3.01E-07,3.55E-07,4.28E-07,3.92E-07,3.98E-07,3.43E-07,3.99E-07,4.51E-07
YML015C,,1.74E-08,,,,,1.60E-08,,
YPL011C,,,,,,,,,
YNL148C,,,,,,,,,
YLR212C,,,,,,2.31E-07,,,
YKL027W,2.66E-07,3.50E-07,5.07E-07,5.97E-07,4.63E-07,5.72E-07,5.02E-07,5.33E-07,4.83E-07
YBR044C,4.87E-08,,,,8.97E-08,9.44E-08,1.40E-07,1.83E-07,
YJL111W,1.60E-06,1.69E-06,1.95E-06,2.31E-06,1.82E-06,2.02E-06,2.02E-06,1.98E-06,1.81E-06
YKL056C,1.91E-05,1.98E-05,2.52E-05,3.03E-05,2.57E-05,3.27E-05,3.72E-05,4.16E-05,3.87E-05
YGR205W,2.50E-06,2.40E-06,2.20E-06,2.56E-06,1.74E-06,1.93E-06,1.46E-06,1.23E-06,9.14E-07
YMR291W,,,,,,,,,
YER071C,,2.64E-07,,3.29E-07,2.39E-07,2.11E-07,2.45E-07,2.12E-07,
YJR116W,,,,,,,,,
YDR310C,6.14E-09,5.68E-09,7.43E-09,,5.84E-09,6.27E-09,6.58E-09,,8.52E-09
YNL066W,,,,,,,,,
YDR297W,,,,,2.37E-07,,,,
YML052W,,1.98E-06,,9.51E-07,,2.22E-06,,,
YGR002C,1.75E-08,1.53E-08,2.90E-08,,2.35E-08,2.54E-08,3.00E-08,2.67E-08,3.63E-08
YPL016W,,,,,,,,,
YER111C,,,,,,,,,
YNR004W,,,,,,,,,
YNL081C,,,1.01E-07,1.10E-07,1.12E-07,1.14E-07,1.37E-07,1.52E-07,1.27E-07
YFL022C,2.28E-06,2.37E-06,3.28E-06,3.99E-06,3.25E-06,3.99E-06,4.14E-06,4.43E-06,4.06E-06
YBL076C,2.09E-06,2.36E-06,3.03E-06,3.31E-06,2.38E-06,2.55E-06,2.82E-06,3.28E-06,3.31E-06
YPL040C,2.84E-08,,,,,,1.52E-07,2.04E-07,1.32E-07
YPR009W,,,,,,,,,
YHR181W,,,,,,,,,
YDR320C,2.00E-07,1.56E-07,1.89E-07,1.66E-07,1.37E-07,1.41E-07,1.16E-07,,1.01E-07
YDR260C,,,,,,,,,
YPL104W,1.31E-07,2.11E-07,1.94E-07,1.82E-07,,2.18E-07,2.65E-07,2.44E-07,1.96E-07
